ra,dec,ra1,dec1
142.9245,22.9641,146.46,23.7663
146.46,23.7663,148.1895,26.0008
148.1895,26.0008,154.1655,23.4168
154.1655,23.4168,154.9905,19.8358
154.9905,19.8358,151.8345,16.7476
151.8345,16.7476,152.091,11.9691
152.091,11.9691,145.2855,9.8835
152.091,11.9691,168.558,15.4183
168.558,15.4183,177.267,14.5646
177.267,14.5646,168.5235,20.5176
168.5235,20.5176,154.9905,19.8358
168.558,15.4183,170.976,10.5195
170.976,10.5195,170.283,6.0161
163.3275,34.1999,156.9675,36.6979
156.9675,36.6979,151.857,35.2312
78.0765,-11.866,78.306,-12.9317
78.306,-12.9317,79.893,-13.1666
79.893,-13.1666,78.231,-16.1975
78.231,-16.1975,83.1825,-17.819
83.1825,-17.819,86.7345,-14.8167
86.7345,-14.8167,87.399,-14.4844
87.399,-14.4844,89.1,-14.1692
83.1825,-17.819,82.059,-20.7525
87.8235,-20.8671,86.115,-22.4313
86.115,-22.4313,82.059,-20.7525
82.059,-20.7525,80.1105,-21.2338
80.1105,-21.2338,76.3635,-22.3683
239.5425,-14.2666,238.4595,-16.7189
238.4595,-16.7189,236.019,-15.6647
236.019,-15.6647,233.8815,-14.7823
233.8815,-14.7823,229.2525,-9.3679
229.2525,-9.3679,222.714,-16.0314
222.714,-16.0314,226.014,-25.2674
226.014,-25.2674,234.2475,-28.1322
234.2475,-28.1322,234.66,-29.7652
226.014,-25.2674,229.2525,-9.3679
241.65,-36.8011,240.024,-38.3824
240.024,-38.3824,233.784,-41.167
233.784,-41.167,230.667,-44.685
230.667,-44.685,227.985,-48.7358
227.985,-48.7358,228.066,-52.0819
228.066,-52.0819,220.485,-47.3836
220.485,-47.3836,224.634,-43.1323
224.634,-43.1323,230.34,-40.6342
230.34,-40.6342,230.4495,-36.251
230.4495,-36.251,237.7425,-33.6154
233.784,-41.167,230.34,-40.6342
140.2605,34.3832,139.71,36.8011
139.71,36.8011,135.1605,41.7686
135.1605,41.7686,125.7075,43.1838
125.7075,43.1838,111.675,49.1999
111.675,49.1999,104.319,58.4188
104.319,58.4188,94.899,58.9975
283.8315,43.9344,288.444,39.133
288.444,39.133,289.092,38.1361
289.092,38.1361,279.231,38.7835
279.231,38.7835,281.082,39.6659
279.231,38.7835,281.19,37.5975
281.19,37.5975,282.5145,33.3519
282.5145,33.3519,284.7315,32.6815
284.7315,32.6815,283.431,36.9672
283.431,36.9672,281.19,37.5975
279.231,38.7835,274.968,36.0505
92.556,-74.7481,82.965,-76.3352
82.965,-76.3352,73.791,-74.9314
73.791,-74.9314,75.6765,-71.2989
320.1915,-40.8003,319.482,-32.1659
319.482,-32.1659,315.3165,-32.2518
315.3165,-32.2518,312.4905,-33.7644
122.1435,-2.9851,115.308,-9.5512
115.308,-9.5512,107.9685,-0.4813
107.9685,-0.4813,97.203,-7.0187
97.203,-7.0187,93.7065,-6.2682
93.7065,-6.2682,95.9415,4.5837
95.9415,4.5837,98.2215,7.3167
195.567,-71.5338,189.294,-69.1331
189.294,-69.1331,188.1195,-72.1182
191.568,-68.1018,189.294,-69.1331
189.294,-69.1331,184.389,-67.9528
184.389,-67.9528,177.0615,-66.8011
246.7905,-47.5498,244.2525,-50.0651
244.2525,-50.0651,244.956,-50.151
244.956,-50.151,240.8025,-49.2171
216.7275,-83.669,325.365,-77.3837
325.365,-77.3837,335.0025,-80.4318
335.0025,-80.4318,341.5065,-81.3657
341.5065,-81.3657,216.7275,-83.669
260.5005,-24.981,257.5905,-15.7162
257.5905,-15.7162,249.294,-10.5653
249.294,-10.5653,247.782,-16.5986
249.294,-10.5653,244.5735,-4.6811
244.5735,-4.6811,243.582,-3.6841
243.582,-3.6841,247.7235,1.9824
247.7235,1.9824,254.4165,9.3679
254.4165,9.3679,253.494,10.1528
254.4165,9.3679,263.727,12.5478
263.727,12.5478,271.8345,9.5512
271.8345,9.5512,271.359,2.4809
271.359,2.4809,269.76,-9.7689
271.359,2.4809,270.1605,2.9164
270.1605,2.9164,266.964,2.6986
266.964,2.6986,265.8645,4.5665
265.8645,4.5665,261.624,4.131
90.9735,20.1337,92.985,14.1979
92.985,14.1979,90.591,9.6314
90.591,9.6314,88.791,7.4026
88.791,7.4026,85.1925,-1.9309
85.1925,-1.9309,86.9355,-9.6658
86.9355,-9.6658,78.633,-8.199
78.633,-8.199,82.998,-0.2807
82.998,-0.2807,81.285,6.3312
81.285,6.3312,83.784,9.9351
83.784,9.9351,88.791,7.4026
81.285,6.3312,72.456,6.95
72.456,6.95,72.7995,5.5978
72.7995,5.5978,73.557,2.4351
73.557,2.4351,74.634,1.7017
72.456,6.95,72.651,8.898
72.651,8.898,73.722,10.1528
306.4065,-56.7343,311.2305,-66.1995
311.2305,-66.1995,310.4865,-66.7496
310.4865,-66.7496,300.144,-72.8974
300.144,-72.8974,280.761,-71.4192
280.761,-71.4192,266.4255,-64.7156
266.4255,-64.7156,272.1435,-63.6671
272.1435,-63.6671,275.811,-61.4841
275.811,-61.4841,283.053,-62.1831
283.053,-62.1831,302.172,-66.1652
302.172,-66.1652,311.2305,-66.1995
311.2305,-66.1995,321.6075,-65.3516
326.0415,9.8663,332.55,6.1822
332.55,6.1822,340.365,10.8174
340.365,10.8174,341.6775,12.1639
341.6775,12.1639,346.1925,15.2006
346.1925,15.2006,3.306,15.1834
3.306,15.1834,2.091,29.0833
2.091,29.0833,345.9405,28.0692
345.9405,28.0692,346.1925,15.2006
326.1555,25.6341,331.749,25.3362
331.749,25.3362,340.749,30.2178
340.749,30.2178,345.9405,28.0692
345.9405,28.0692,342.5025,24.6028
342.5025,24.6028,341.6325,23.5486
341.6325,23.5486,326.127,17.3492
61.644,50.3515,63.7185,48.3977
63.7185,48.3977,62.166,47.6987
62.166,47.6987,55.7265,47.7847
55.7265,47.7847,54.1155,48.1858
54.1155,48.1858,51.0735,49.8473
51.0735,49.8473,46.197,53.5028
46.197,53.5028,42.6735,55.8806
55.7265,47.7847,56.2995,42.565
56.2995,42.565,59.4555,39.9982
59.4555,39.9982,59.742,35.7812
59.742,35.7812,58.533,31.8851
58.533,31.8851,56.076,32.2862
51.0735,49.8473,47.2695,49.601
47.2695,49.601,41.0415,49.2171
47.2695,49.601,47.3715,44.8511
47.3715,44.8511,47.04,40.9493
47.04,40.9493,46.29,38.8351
46.29,38.8351,44.691,39.6487
22.809,-49.0681,22.0935,-43.3156
22.0935,-43.3156,18.7935,-45.5158
18.7935,-45.5158,16.518,-46.719
16.518,-46.719,6.5655,-42.3015
6.5655,-42.3015,2.349,-45.7335
2.349,-45.7335,353.7675,-42.5994
353.7675,-42.5994,354.4605,-45.4814
354.4605,-45.4814,359.7315,-52.735
16.518,-46.719,17.091,-55.2331
17.091,-55.2331,10.8345,-57.4505
10.8345,-57.4505,2.349,-45.7335
102.0435,-61.931,87.456,-56.1671
87.456,-56.1671,86.814,-51.0505
17.916,30.086,19.8645,27.2499
19.8645,27.2499,18.432,24.5856
18.432,24.5856,22.866,15.3324
22.866,15.3324,26.3505,9.1501
26.3505,9.1501,30.51,2.7502
30.51,2.7502,25.359,5.4832
25.359,5.4832,22.5405,6.1306
22.5405,6.1306,15.7335,7.8839
15.7335,7.8839,12.1635,7.586
12.1635,7.586,359.823,6.8526
359.823,6.8526,354.981,5.615
354.981,5.615,351.9915,6.3656
351.9915,6.3656,349.293,3.2659
349.293,3.2659,351.7335,1.249
351.7335,1.249,355.509,1.7647
355.509,1.7647,354.981,5.615
344.4105,-29.6162,340.1595,-27.0321
340.1595,-27.0321,333.576,-27.7655
333.576,-27.7655,326.9355,-30.8824
326.9355,-30.8824,326.2305,-33.0138
326.2305,-33.0138,332.0925,-32.9852
332.0925,-32.9852,337.8735,-32.332
337.8735,-32.332,343.1325,-32.8649
343.1325,-32.8649,343.9815,-32.5325
343.9815,-32.5325,344.4105,-29.6162
122.2575,-19.2342,119.2155,-22.8667
119.2155,-22.8667,117.324,-24.8492
117.324,-24.8492,114.7005,-26.7972
114.7005,-26.7972,113.841,-28.3671
113.841,-28.3671,112.6725,-30.9512
112.6725,-30.9512,109.2855,-37.0818
109.2855,-37.0818,99.4425,-43.1838
99.4425,-43.1838,102.4845,-50.5979
102.4845,-50.5979,108.381,-44.6334
108.381,-44.6334,112.311,-43.2984
112.311,-43.2984,120.894,-39.9982
120.894,-39.9982,121.8855,-24.2991
121.8855,-24.2991,119.2155,-22.8667
130.0275,-35.2999,130.8975,-33.1857
130.8975,-33.1857,132.6345,-27.7025
56.0415,-64.8015,63.6105,-62.4639
63.6105,-62.4639,64.1145,-59.3011
64.1145,-59.3011,60.327,-61.0658
60.327,-61.0658,59.685,-61.3982
59.685,-61.3982,56.0415,-64.8015
301.284,19.9848,299.685,19.4806
299.685,19.4806,296.844,18.5352
296.844,18.5352,295.257,17.4695
296.844,18.5352,295.0275,18.0023
290.799,-44.7824,298.815,-41.866
298.815,-41.866,290.9655,-40.5998
298.815,-41.866,299.9325,-35.2656
299.9325,-35.2656,299.961,-34.6811
299.961,-34.6811,300.666,-27.7025
300.666,-27.7025,299.2335,-27.1639
299.2335,-27.1639,294.174,-24.8836
294.174,-24.8836,288.885,-25.2503
288.885,-25.2503,286.731,-27.6681
286.731,-27.6681,285.648,-29.8683
285.648,-29.8683,281.4075,-26.9806
281.4075,-26.9806,283.815,-26.2816
283.815,-26.2816,286.731,-27.6681
283.815,-26.2816,286.17,-21.7323
286.17,-21.7323,287.442,-21.0161
287.442,-21.0161,289.407,-18.9477
289.407,-18.9477,290.415,-17.8362
286.17,-21.7323,284.433,-21.102
281.4075,-26.9806,276.99,-25.4164
276.99,-25.4164,273.444,-21.0505
276.99,-25.4164,275.2485,-29.8167
275.2485,-29.8167,276.039,-34.3832
276.039,-34.3832,274.407,-36.7495
275.2485,-29.8167,271.4505,-30.4183
271.4505,-30.4183,266.889,-27.8171
241.359,-19.8014,241.7025,-20.6666
241.7025,-20.6666,242.991,-19.4347
242.991,-19.4347,241.083,-11.3675
241.083,-11.3675,241.359,-19.8014
241.359,-19.8014,240.081,-22.6146
240.081,-22.6146,239.709,-26.0982
239.709,-26.0982,239.2155,-29.1979
240.081,-22.6146,245.289,-25.5826
245.289,-25.5826,247.3395,-26.4191
247.3395,-26.4191,248.967,-28.201
248.967,-28.201,252.543,-34.2858
252.543,-34.2858,247.845,-34.6983
247.845,-34.6983,249.093,-35.2484
249.093,-35.2484,252.543,-34.2858
252.543,-34.2858,252.966,-38.0329
252.966,-38.0329,253.6425,-42.3473
253.6425,-42.3473,258.0315,-43.2354
258.0315,-43.2354,264.3225,-42.9833
264.3225,-42.9833,266.889,-40.1185
266.889,-40.1185,265.617,-39.0184
265.617,-39.0184,263.4,-37.099
266.889,-40.1185,267.456,-37.036
14.6505,-29.3526,5.3745,-28.9687
5.3745,-28.9687,357.234,-28.115
357.234,-28.115,349.6995,-32.5154
349.6995,-32.5154,353.2395,-37.8152
281.7915,-4.7326,278.802,-8.2334
278.802,-8.2334,277.3005,-14.5474
278.802,-8.2334,275.919,-8.9324
237.399,-3.4148,237.5775,2.183
237.5775,2.183,237.6975,4.4691
237.6975,4.4691,236.064,6.4171
236.064,6.4171,233.6985,10.531
233.6985,10.531,236.5395,15.4183
236.5395,15.4183,239.106,15.6475
239.106,15.6475,237.1815,18.1341
237.1815,18.1341,236.5395,15.4183
157.569,-0.636,151.983,-0.3667
151.983,-0.3667,148.1265,-8.1016
81.5775,28.6021,70.56,22.9527
70.56,22.9527,67.1505,19.1654
67.1505,19.1654,66.366,17.9164
66.366,17.9164,65.736,17.5325
65.736,17.5325,64.95,15.6188
64.95,15.6188,67.1685,15.8652
67.1685,15.8652,68.973,16.5012
68.973,16.5012,84.408,21.1307
64.95,15.6188,60.1665,12.4848
60.1665,12.4848,52.7175,12.9317
52.7175,12.9317,51.789,9.7174
51.789,9.7174,51.1995,9.0184
60.1665,12.4848,63.873,8.8808
63.873,8.8808,60.7845,5.9817
272.808,-45.9512,276.744,-45.9684
276.744,-45.9684,277.209,-49.0681
28.2645,29.5646,30.7395,33.2831
30.7395,33.2831,32.3835,34.9848
32.3835,34.9848,34.326,33.8332
34.326,33.8332,28.2645,29.5646
252.159,-69.0185,238.7865,-63.415
238.7865,-63.415,234.174,-66.3141
234.174,-66.3141,229.728,-68.669
229.728,-68.669,252.159,-69.0185
336.8355,-64.9505,334.6245,-60.2522
334.6245,-60.2522,349.3605,-58.2354
349.3605,-58.2354,359.9715,-65.5693
359.9715,-65.5693,5.019,-64.8646
5.019,-64.8646,7.884,-62.9509
7.884,-62.9509,349.3605,-58.2354
206.883,49.2973,200.982,54.918
200.982,54.918,193.5105,55.9493
193.5105,55.9493,183.8565,57.015
183.8565,57.015,178.4595,53.6861
178.4595,53.6861,165.459,56.3676
165.459,56.3676,165.9345,61.7477
178.4595,53.6861,176.511,47.7675
176.511,47.7675,169.5435,31.5184
176.511,47.7675,167.418,44.4844
167.418,44.4844,154.275,42.8974
167.418,44.4844,155.5815,41.4821
165.9345,61.7477,142.884,63.0483
142.884,63.0483,127.569,60.7163
165.459,56.3676,148.023,54.0528
148.023,54.0528,147.7425,59.0318
148.023,54.0528,143.211,51.6693
143.211,51.6693,134.8005,48.0311
134.8005,48.0311,135.906,47.1487
135.906,47.1487,143.211,51.6693
37.953,89.2496,263.0505,86.5854
263.0505,86.5854,251.4945,82.0361
251.4945,82.0361,236.019,77.7848
236.019,77.7848,222.675,74.1522
222.675,74.1522,230.1855,71.8317
230.1855,71.8317,244.3725,75.7508
244.3725,75.7508,236.019,77.7848
161.694,-49.4176,159.3225,-48.2144
159.3225,-48.2144,153.684,-42.1181
153.684,-42.1181,142.6725,-40.468
142.6725,-40.468,136.9995,-43.4187
136.9995,-43.4187,131.0985,-42.6338
131.0985,-42.6338,129.408,-42.9833
129.408,-42.9833,122.3835,-47.332
122.3835,-47.332,131.1675,-54.7003
131.1675,-54.7003,140.523,-54.9982
140.523,-54.9982,149.2155,-54.5685
149.2155,-54.5685,161.694,-49.4176
181.3005,8.7147,176.466,6.5145
176.466,6.5145,177.6735,1.7475
177.6735,1.7475,184.974,-0.6646
184.974,-0.6646,190.4175,-1.4324
190.4175,-1.4324,193.9005,3.3862
193.9005,3.3862,195.5385,10.9492
193.9005,3.3862,203.6745,-0.5844
203.6745,-0.5844,201.297,-11.1498
201.297,-11.1498,197.481,-5.5348
197.481,-5.5348,190.4175,-1.4324
203.6745,-0.5844,210.408,1.5355
210.408,1.5355,221.5575,1.885
201.297,-11.1498,213.2265,-10.2674
213.2265,-10.2674,213.999,-5.9989
213.999,-5.9989,220.767,-5.6494
135.6075,-66.3829,126.435,-66.1308
126.435,-66.1308,121.977,-68.6174
121.977,-68.6174,109.206,-67.9528
109.206,-67.9528,107.178,-70.4853
107.178,-70.4853,115.4505,-72.5995
115.4505,-72.5995,121.977,-68.6174
298.368,24.0642,292.1745,24.6486
292.1745,24.6486,289.0515,21.3828
284.049,4.1998,275.3235,-2.882
275.3235,-2.882,265.3485,-12.8686
265.3485,-12.8686,264.3915,-15.3839
264.3915,-15.3839,260.2095,-12.8343
